Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20
,Sweden,63.0,16.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,7,12,14,15,21,35,94,101,161,203,248,355,500,599,814,961,1022,1103,1190,1279,1439,1639,1763,1934,2046,2286,2526,2840,3069,3447,3700,4028,4435,4947,5568,6131,6443,6830,7206,7693,8419,9141,9685,10151,10483,10948,11445,11927,12540,13216,13822,14385,14777,15322,16004,16755,17567,18177,18640,18926,19621,20302,21092,21520,22082,22317,22721,23216,23918,24623,25265,25921,26322,26670,27272,27909,28582,29207,29677,30143,30377,30799,31523,32172,32809,33188,33459,33843,34440,35088,35727,36476,37113,37542,37814,38589,40803,41883,42939,43887,44730,45133,45924,46814,48288,49684,50931,51614,52383,53323,54562,56043,58076,58591,58848,58932,60837,62324,63890,65137,65137,65137,67667,68451
,Blekinge,56.2475,15.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,9,9,9,10,10,11,12,12,12,12,12,12,12,15,15,17,17,21,21,22,27,30,31,35,36,36,37,39,40,41,41,42,42,43,43,43,43,43,43,44,48,54,56,63,63,64,64,67,73,73,73,74,74,74,77,78,80,84,85,85,85,89,92,94,100,102,103,103,109,132,132,142,144,147,150,162,181,192,202,208,215,218,236,254,264,274,279,297,307,316,317,343,357,369,379,382,389,402,408,413,417,417,417,425,430,436,439,442,444,444,444
,Dalecarlia,61.060500000000005,14.421499999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,5,5,5,8,10,12,17,17,22,31,40,53,61,76,82,92,101,124,143,149,169,187,194,210,238,266,295,312,321,352,364,376,404,429,455,482,490,500,535,568,609,638,683,688,696,731,783,797,799,800,803,867,895,917,936,952,963,967,970,988,1010,1025,1035,1036,1053,1062,1064,1095,1112,1116,1129,1136,1139,1157,1173,1189,1199,1214,1219,1226,1249,1263,1276,1296,1312,1318,1327,1344,1362,1371,1384,1390,1394,1397,1404,1410,1426,1446,1451,1455,1466,1495,1525,1554,1588,1619,1623,1626,1626
,Gotland,57.649,18.7205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,4,5,5,5,5,5,5,6,10,11,11,11,11,12,12,13,14,14,14,14,14,15,16,16,16,16,16,16,18,19,19,19,19,20,20,23,25,26,28,31,35,39,46,49,50,52,53,59,59,59,61,62,63,63,63,65,65,65,65,66,66,66,67,69,69,69,70,71,71,71,71,73,74,82,82,82,87,88,89,90,92,92,92,97,101,106,112,113,113,118,118,123,125,126,129,133,137,145,148,149,157,158,158,160,160
,Gavleborg,61.266999999999996,15.982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,5,6,7,7,9,13,15,15,20,24,24,27,32,39,44,53,65,76,86,100,130,147,163,175,182,194,210,227,245,263,273,290,301,312,329,350,374,403,411,415,437,459,472,491,514,520,531,547,568,589,610,624,632,655,669,692,728,751,802,808,820,847,877,917,947,971,978,993,1027,1052,1077,1100,1122,1130,1148,1170,1200,1227,1257,1283,1295,1305,1350,1381,1425,1468,1505,1526,1542,1554,1620,1672,1728,1772,1807,1830,1868,1909,1974,2004,2035,2047,2056,2107,2147,2169,2219,2221,2226,2234,2264
,Halland,56.9625,12.7985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,22,31,40,40,42,43,46,48,50,55,58,59,63,63,70,79,82,88,90,95,102,106,115,127,129,132,142,155,164,176,180,182,185,188,194,200,215,224,231,237,247,264,283,301,318,320,325,343,353,363,371,373,381,383,393,414,437,452,467,472,476,486,499,506,519,541,549,553,572,586,628,638,646,652,654,662,683,717,744,761,772,779,801,832,843,865,888,907,915,932,960,986,1015,1039,1063,1067,1076,1123,1148,1171,1180,1186,1189,1199,1285,1302,1326,1396,1427,1428,1482,1483
,Jamtland,63.341499999999996,14.486999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,11,14,21,22,22,26,27,30,44,53,53,57,59,66,69,77,79,81,82,82,86,88,90,90,94,100,108,116,124,126,132,138,152,167,179,198,207,213,214,227,244,252,262,275,276,282,293,311,331,338,351,357,359,381,390,408,418,437,437,451,463,478,508,523,530,538,553,562,580,602,610,633,635,637,652,670,687,698,722,729,731,742,753,768,781,803,810,811,828,843,854,873,878,884,904,925,948,960,970,971,972,977,989,997,1006,1017,1022,1025,1033,1033
,Jonkoping,57.537000000000006,14.367999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,4,10,10,26,33,37,37,41,43,44,46,48,51,55,56,58,63,70,79,94,104,112,127,144,157,189,218,233,245,255,278,296,317,336,341,350,355,366,394,417,453,488,503,511,560,591,637,661,680,685,708,726,769,797,820,838,845,861,883,907,935,962,995,1001,1012,1041,1075,1089,1124,1145,1169,1174,1215,1247,1275,1287,1314,1331,1355,1390,1435,1473,1501,1537,1555,1566,1601,1642,1668,1710,1750,1773,1786,1849,2004,2135,2272,2393,2409,2420,2563,2769,2938,3162,3169,3176,3185,3355,3584,3743,3853,3953,3963,3970,3977
,Kalmar,57.175,16.243000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,7,7,7,7,8,9,10,11,12,15,16,18,24,29,30,31,34,36,41,46,48,49,52,58,62,64,65,66,69,71,77,82,84,88,93,95,99,105,116,127,138,139,140,142,149,154,165,172,179,181,182,196,201,204,212,217,221,225,231,237,238,243,250,253,255,262,264,267,268,279,279,279,295,312,326,344,348,349,352,362,367,376,390,404,405,408,421,432,443,453,467,476,479,490,499,513,535,546,548,550,552,567,574,587,606,613,614,620,626
,Kronoberg,56.8,14.565999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,10,13,14,15,15,16,17,18,18,18,18,18,20,21,23,27,29,33,34,39,40,47,49,51,53,56,70,77,82,86,96,100,103,109,121,131,143,164,175,184,198,211,236,238,259,263,270,291,305,317,332,344,354,358,392,414,448,474,495,501,507,535,566,584,607,623,630,638,665,685,703,716,734,745,753,765,797,817,828,840,850,856,874,886,897,916,919,930,935,950,961,975,987,1002,1004,1005,1017,1021,1029,1034,1037,1038,1038,1044,1046,1052,1057,1059,1063,1063,1063
