Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20
,US,37.0902,-95.7129,1,1,2,2,5,5,5,5,5,7,8,8,11,11,11,11,11,11,11,11,12,12,13,13,13,13,13,13,13,13,15,15,15,15,15,15,16,16,24,30,53,73,104,174,222,337,451,519,711,1109,1561,2157,2870,2968,4360,6141,8914,14153,19479,25818,33756,43845,54108,66044,84080,102254,122054,141194,162690,188701,214194,244593,276535,309699,337573,367210,397992,429686,464442,497943,527958,556517,581810,608845,637974,669272,701996,730317,756375,783716,809213,837414,871617,907908,940829,968517,990993,1015518,1042926,1072667,1106829,1136024,1161611,1184086,1208271,1233527,1261409,1288566,1314306,1334084,1352962,1374914,1396109,1423726,1449026,1474127,1493131,1514839,1535337,1558949,1584486,1608623,1630450,1651239,1670209,1689057,1707423,1730259,1754747,1778993,1799122,1816476,1837367,1857248,1878543,1903854,1926538,1944309,1961781,1979868,2000702,2023590,2048986,2074526,2094058,2114026,2137731,2163290,2191052,2222579,2255297,2281655,2312302,2347491,2382327,2422299,2467554,2510151,2548996
,Alabama,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,23,45,58,74,105,137,168,198,242,289,432,572,648,758,893,971,1066,1149,1326,1585,1710,1866,2057,2282,2448,2822,3073,3350,3698,3874,4099,4226,4500,4732,4930,5096,5299,5520,5802,6057,6251,6257,6640,6761,6969,7132,7315,7549,7851,8129,8361,8688,8949,9305,9649,9939,10163,10443,10748,10989,11395,11682,11979,12081,12401,12713,13380,13620,14019,14462,14824,15336,16005,16392,16896,17402,17733,18332,18632,18858,18939,19151,19457,20093,20550,20974,21455,22010,22858,23717,24606,25622,26281,26912,27312,28206,29002,29549,30021,30454,31099,32064,33206,34183,35085,35441
,Alaska,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,4,6,9,12,14,19,31,35,42,57,64,86,103,115,120,133,144,158,172,186,191,214,226,236,247,258,273,278,286,294,301,310,315,320,322,330,336,338,340,340,341,346,352,356,356,365,366,369,371,372,373,375,378,379,381,382,383,383,383,391,391,391,391,403,405,405,407,411,411,412,414,415,428,433,437,463,470,490,508,516,527,539,547,566,576,596,613,628,657,666,669,681,701,713,726,747,758,764,766,797,821,840,856,880
,Arizona,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,6,9,9,9,12,12,18,20,27,45,68,104,152,235,326,401,508,665,775,923,1159,1294,1415,1598,1771,2020,2272,2463,2578,2728,3020,3114,3398,3544,3707,3812,3990,4241,4515,4726,4935,5071,5258,5475,5772,6046,6289,6536,6727,6957,7209,7655,7969,8365,8641,8925,9305,9707,9945,10527,10960,11119,11383,11738,12222,12674,13169,13667,13946,14209,14577,14906,15348,15624,16054,16377,16575,16864,17320,17878,18472,19258,19936,20129,21264,22366,22889,24440,25453,26990,27678,28307,29852,31267,33040,34661,35707,36844,39185,40937,43445,46910,50128,52592,54601,58378,60190,63284,66659,70124,73920
,Arkansas,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,21,31,41,52,62,100,122,165,310,330,382,432,467,499,519,545,611,661,721,778,811,902,930,1025,1077,1230,1274,1332,1377,1501,1579,1648,1701,1775,1828,1865,2059,2076,2312,2601,2812,2913,3004,3087,3131,3197,3342,3393,3428,3495,3548,3606,3708,3780,3831,3831,4121,4148,4265,4334,4469,4562,4686,4866,4920,5031,5108,5544,5707,5866,6012,6112,6248,6345,6582,6828,7063,7314,7504,7867,8076,8454,8674,9109,9435,9743,10091,10399,10824,11568,12099,12505,12922,13194,13634,13930,14634,15145,15568,16088,16683,17379,18067,18909,19364,19818
,California,,,0,0,0,0,2,2,2,2,2,3,3,3,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,10,10,10,10,10,10,11,11,12,12,21,25,35,51,59,81,95,101,144,178,222,286,376,405,564,708,832,1012,1249,1412,1653,2116,2547,3011,3910,4657,5110,5870,7159,8235,9427,10804,12038,12874,15077,16019,17414,18898,19872,21241,21864,22953,24089,25526,26852,27841,29320,30652,31591,33845,35623,37500,39700,41491,42502,43690,45096,46307,48887,50268,52161,53480,55034,56013,58583,60743,62273,63902,66678,67717,69443,71090,72907,74977,76797,78855,80265,81552,83845,86091,88125,90339,92625,94104,96480,99463,101123,103884,106691,109963,112016,114832,117299,119413,122299,125853,128651,130671,133870,136693,139765,143426,146751,150136,152343,155766,158998,162833,167119,171190,175242,178575,184921,191534,195974,201144,206866,210615,215296
,Colorado,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,8,12,17,34,49,78,103,136,161,183,216,278,364,475,595,723,912,1089,1433,1738,2062,2312,2659,3033,3413,3796,4217,4566,4951,5184,5457,5692,6240,6633,6982,7411,7811,8094,8428,8839,9225,9601,9853,10220,10579,11025,11397,12384,13065,13486,13919,14364,14824,15333,15796,16222,16609,16887,17390,17869,18414,18880,19386,19668,19917,20241,20574,20951,21344,21724,22020,22291,22581,22901,23266,23565,24000,24205,24418,24704,24930,25270,25738,26222,26499,26689,26895,27164,27461,27710,27938,28087,28263,28420,28569,28714,28886,29073,29181,29347,29486,29722,29944,30225,30378,30563,30726,30905,31163,31481,31794,32017,32290
,Connecticut,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,11,23,24,41,68,96,159,211,226,376,479,698,971,1124,1419,1668,2153,2571,3231,3557,3851,4914,5276,5705,6906,7781,7781,9784,10538,11510,12035,13407,13989,14755,15891,16854,17567,17977,19847,20405,22469,23124,23956,24599,25281,26043,26347,26782,27756,28907,29485,29798,30112,30751,31184,31989,32604,33220,33732,33966,34540,35071,35691,36305,36900,37659,38329,38654,39253,39448,39887,40233,40680,41084,41460,41557,41793,41944,42189,42358,42889,43109,43222,43369,43583,43924,44056,44176,44239,44387,44504,44731,45023,45139,45210,45320,45390,45471,45661,45801,45827,45851,45960,45967,46040,46099,46218,46303
,Delaware,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6,6,8,16,19,30,39,45,56,68,104,119,130,163,214,232,264,319,368,393,450,593,673,783,928,1116,1209,1326,1479,1639,1773,1931,2014,2070,2317,2538,2538,2745,2932,3203,3336,3469,3604,4056,4182,4575,4661,4741,4926,5048,5218,5298,5381,5778,5945,6120,6288,6289,6565,6746,6959,7223,7375,7547,7670,7870,8039,8198,8392,8529,8529,8809,8967,9066,9100,9176,9243,9428,9505,9607,9688,9714,9747,9777,9885,9978,10011,10057,10090,10140,10203,10259,10294,10369,10429,10471,10525,10633,10700,10792,10839,10865,10904,10992,11047,11096,11226
,District of Columbia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,31,40,71,98,102,120,141,187,231,271,304,342,401,495,586,653,757,902,1002,1097,1211,1440,1523,1660,1778,1875,1955,2058,2197,2350,2476,2666,2793,2927,3098,3206,3361,3528,3699,3841,3892,3994,4106,4323,4658,4797,5016,5170,5322,5461,5654,5899,6102,6272,6389,6485,6584,6736,6871,7042,7123,7270,7434,7551,7788,7893,7966,8110,8225,8334,8406,8492,8538,8717,8801,8857,8886,9016,9120,9199,9269,9332,9389,9474,9537,9589,9654,9709,9767,9799,9818,9847,9903,9952,9984,10020,10058,10094,10128,10159,10185,10216,10248
